seed: 4, epochs: 300, algorithm: FedAvg, optimizer: SGD, momentum: 0.9, weight_decay: 0.0005, num_clients: 20, batch_size: 4096, learning_rate: 0.01, local_epochs: 2, model: lenet, dataset: MNIST, distribution: non-iid, im_iid_gamma: 0.01, tail_cls_from: 4, dirichlet_alpha: 0.1, cache_partition: False, gpu_idx: [1], num_workers: 16, record_time: False, num_adv: 4, attack: IPM, defense: Mean, attack_params: {'attack_model': 'all2one', 'scaling_factor': 100, 'trigger_factor': [8, 2, 0], 'poisoning_ratio': 0.32, 'source_label': 2, 'target_label': 7, 'attack_strategy': 'continuous'}, defense_params: None, benchmark: False, num_training_sample: 60000, num_channels: 1, num_classes: 10, mean: (0.1307,), std: (0.3081,), device: cuda:1, output: ./logs/FedAvg/MNIST_lenet/non-iid/MNIST_lenet_non-iid_alpha0.1_IPM_Mean_300_20_0.01_FedAvg.txt

Started on Wed Jan 28 17:32:47 2026
Generating new indices
Doing non-iid partition
dirichlet alpha: 0.1
non-iid partition finished
Data partitioned
Clients and server are initialized
Starting Training...
Epoch 66 		Train Acc: 0.0736	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 67 		Train Acc: 0.0720	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 68 		Train Acc: 0.0734	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 69 		Train Acc: 0.0738	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 70 		Train Acc: 0.0719	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 71 		Train Acc: 0.0723	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 72 		Train Acc: 0.0721	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 73 		Train Acc: 0.0730	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 74 		Train Acc: 0.0723	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 75 		Train Acc: 0.0727	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 76 		Train Acc: 0.0733	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 77 		Train Acc: 0.0730	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 78 		Train Acc: 0.0729	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 79 		Train Acc: 0.0721	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 80 		Train Acc: 0.0736	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 81 		Train Acc: 0.0722	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 82 		Train Acc: 0.0729	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 83 		Train Acc: 0.0721	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 84 		Train Acc: 0.0723	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 85 		Train Acc: 0.0728	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 86 		Train Acc: 0.0721	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 87 		Train Acc: 0.0714	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 88 		Train Acc: 0.0729	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 89 		Train Acc: 0.0712	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 90 		Train Acc: 0.0728	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 91 		Train Acc: 0.0727	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 92 		Train Acc: 0.0724	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 93 		Train Acc: 0.0738	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 94 		Train Acc: 0.0728	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 95 		Train Acc: 0.0740	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 96 		Train Acc: 0.0730	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 97 		Train Acc: 0.0723	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 98 		Train Acc: 0.0724	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 99 		Train Acc: 0.0725	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 100		Train Acc: 0.0731	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 101		Train Acc: 0.0716	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 102		Train Acc: 0.0739	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 103		Train Acc: 0.0722	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 104		Train Acc: 0.0729	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 105		Train Acc: 0.0734	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 106		Train Acc: 0.0734	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 107		Train Acc: 0.0721	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 108		Train Acc: 0.0720	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 109		Train Acc: 0.0726	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 110		Train Acc: 0.0723	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 111		Train Acc: 0.0715	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 112		Train Acc: 0.0720	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 113		Train Acc: 0.0727	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 114		Train Acc: 0.0741	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 115		Train Acc: 0.0733	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 116		Train Acc: 0.0715	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 117		Train Acc: 0.0730	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 118		Train Acc: 0.0730	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 119		Train Acc: 0.0736	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 120		Train Acc: 0.0715	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 121		Train Acc: 0.0713	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 122		Train Acc: 0.0735	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 123		Train Acc: 0.0734	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 124		Train Acc: 0.0724	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 125		Train Acc: 0.0716	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 126		Train Acc: 0.0726	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 127		Train Acc: 0.0733	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 128		Train Acc: 0.0719	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 129		Train Acc: 0.0719	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 130		Train Acc: 0.0732	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 131		Train Acc: 0.0724	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 132		Train Acc: 0.0723	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 133		Train Acc: 0.0729	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 134		Train Acc: 0.0718	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 135		Train Acc: 0.0734	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 136		Train Acc: 0.0732	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 137		Train Acc: 0.0738	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 138		Train Acc: 0.0722	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 139		Train Acc: 0.0728	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 140		Train Acc: 0.0729	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 141		Train Acc: 0.0724	Train loss: nan	Test Acc: 0.0980	Test loss: nan
Epoch 142		Train Acc: 0.0737	Train loss: nan	Test Acc: 0.0980	Test loss: nan
